Date,DJI,NIFTY,UKX
2015-03-03,18203.37,8342.15,6949.63
2015-03-04,18096.9,8341.4,6935.38
2015-03-05,18135.72,8492.3,6949.73
2015-03-06,17856.78,8491,6946.66
2015-03-09,17995.72,8586.25,6940.64
2015-03-10,17662.94,8659.9,6889.13
2015-03-11,17635.39,8660.3,6919.24
2015-03-12,17895.22,8714.4,6961.14
2015-03-13,17749.31,8778.3,6911.8
2015-03-16,17977.42,8780.35,6876.47
2015-03-17,17849.08,8834,6702.84
2015-03-18,18076.19,8750.2,6721.51
2015-03-19,17959.03,8706.7,6761.07
2015-03-20,18127.65,8606,6740.58
2015-03-23,18116.04,8448.1,6804.08
2015-03-24,18011.14,8377.75,6837.61
2015-03-25,17718.54,8429.7,6945.2
2015-03-26,17678.23,8398.3,6962.32
2015-03-27,17712.66,8305.25,7022.51
2015-03-30,17976.31,8213.8,7037.67
2015-03-31,17776.12,8285.6,7019.68
2015-04-01,17698.18,8239.75,6990.97
2015-04-02,17763.24,8181.5,6895.33
2015-04-06,17880.85,8331.95,6855.02
2015-04-07,17875.42,8324.8,6891.43
2015-04-08,17902.51,8097,6773.04
2015-04-09,17958.73,8057.3,6809.5
2015-04-10,18057.65,8191.5,6833.46
2015-04-13,17977.04,8325.25,6961.77
2015-04-14,18036.7,8126.95,6937.41
2015-04-15,18112.61,8235.45,7015.36
2015-04-16,18105.77,8224.2,7089.77
2015-04-17,17826.3,8262.35,7064.3
2015-04-20,18034.93,8373.65,7075.26
2015-04-21,17949.59,8365.65,7096.78
2015-04-22,18038.27,8423.25,7060.45
2015-04-23,18058.69,8421,6994.63
2015-04-24,18080.14,8458.95,7052.13
2015-04-27,18037.97,8370.25,7062.93
2015-04-28,18110.14,8339.35,7028.24
2015-04-29,18035.53,8334.6,7053.67
2015-04-30,17840.52,8319,7070.7
2015-05-01,18024.06,8433.65,7103.98
2015-05-04,18070.4,8433.4,7030.53
2015-05-05,17928.2,8236.45,6946.28
2015-05-06,17841.98,8135.1,6960.63
2015-05-07,17924.06,8130.65,6985.95
2015-05-08,18191.11,8114.7,6927.58
2015-05-11,18105.17,8044.15,6933.74
2015-05-12,18068.23,8022.4,6886.95
2015-05-13,18060.49,8124.45,7046.82
2015-05-14,18252.24,7965.35,7029.85
2015-05-15,18272.56,7982.9,6933.8
2015-05-18,18298.88,8013.9,6949.63
2015-05-19,18312.39,8047.3,6973.04
2015-05-20,18285.4,8091.55,6960.49
2015-05-21,18285.74,8174.6,6968.87
2015-05-22,18232.02,8224.95,6995.1
2015-05-26,18041.54,8353.1,7007.26
2015-05-27,18162.99,8381.55,7013.47
2015-05-28,18126.12,8360.85,7031.72
2015-05-29,18010.68,8398,6948.99
2015-06-01,18040.37,8381.1,7033.33
2015-06-02,18011.94,8318.4,7040.92
2015-06-03,18076.27,8368.5,6984.43
2015-06-04,17905.58,8453.05,6953.58
2015-06-05,17849.46,8444.9,6928.27
2015-06-08,17766.55,8484.9,6950.46
2015-06-09,17764.04,8522.15,6859.24
2015-06-10,18000.4,8510.8,6804.6
2015-06-11,18039.37,8363.05,6790.04
2015-06-12,17898.84,8328.55,6753.8
2015-06-15,17791.17,8360.55,6830.27
2015-06-16,17904.48,8459.65,6846.74
2015-06-17,17935.74,8454.1,6784.92
2015-06-18,18115.84,8523.8,6710.52
2015-06-19,18015.95,8608.05,6710.1
2015-06-22,18119.78,8609.85,6680.55
2015-06-23,18144.07,8603.45,6707.88
2015-06-24,17966.07,8529.45,6710.45
2015-06-25,17890.36,8633.5,6825.67
2015-06-26,17946.68,8589.8,6834.87
2015-06-29,17596.35,8521.55,6844.8
2015-06-30,17619.51,8361,6807.82
2015-07-01,17757.91,8337,6753.7
2015-07-02,17730.11,8375.05,6620.48
2015-07-06,17683.58,8421.8,6520.98
2015-07-07,17776.91,8532.85,6608.59
2015-07-08,17515.42,8543.05,6630.47
2015-07-09,17548.62,8516.9,6585.78
2015-07-10,17760.41,8567.95,6535.68
2015-07-13,17977.68,8588.65,6432.21
2015-07-14,18053.58,8564.6,6490.7
2015-07-15,18050.17,8525.6,6581.63
2015-07-16,18120.25,8462.35,6673.38
2015-07-17,18086.45,8349.45,6737.95
2015-07-20,18100.41,8355.85,6753.75
2015-07-21,17919.29,8518.55,6753.75
2015-07-22,17851.04,8477.3,6796.45
2015-07-23,17731.92,8466.55,6775.08
2015-07-24,17568.53,8495.15,6788.69
2015-07-27,17440.59,8372.75,6769.07
2015-07-28,17630.27,8299.95,6667.34
2015-07-29,17751.39,7809,6655.01
2015-07-30,17745.98,7880.7,6579.81
2015-07-31,17689.86,7791.85,6505.13
2015-08-03,17598.2,7948.95,6555.28
2015-08-04,17550.69,8001.95,6631
2015-08-05,17540.47,7971.3,6668.87
2015-08-06,17419.75,7785.85,6696.28
2015-08-07,17373.38,7717,6688.62
2015-08-10,17615.17,7823,6686.57
2015-08-11,17402.84,7655.05,6752.41
2015-08-12,17402.51,7558.8,6747.09
2015-08-13,17408.25,7688.25,6718.49
2015-08-14,17477.4,7818.6,6736.22
2015-08-17,17545.18,7788.1,6664.54
2015-08-18,17511.34,7789.3,6571.19
2015-08-19,17348.73,7872.25,6568.33
2015-08-20,16990.69,7829.1,6550.74
2015-08-21,16459.75,7899.15,6550.3
2015-08-24,15871.35,7981.9,6526.29
2015-08-25,15666.44,7977.1,6403.45
2015-08-26,16285.51,7812,6367.89
2015-08-27,16654.77,7845.95,6187.65
2015-08-28,16643.01,7868.5,5898.87
2015-08-31,16528.03,7795.7,6081.34
2015-09-01,16058.35,7843.3,5979.2
2015-09-02,16351.38,7948.9,6192.03
2015-09-03,16374.76,7950.9,6247.94
2015-09-04,16102.38,8119.3,6058.54
2015-09-08,16492.68,8152.9,6083.31
2015-09-09,16253.57,8177.4,6194.1
2015-09-10,16330.4,8129.35,6042.92
2015-09-11,16433.09,8189.7,6074.52
2015-09-14,16370.96,8143.6,6146.1
2015-09-15,16599.85,8131.7,6229.01
2015-09-16,16739.95,8107.9,6155.81
2015-09-17,16674.74,8179.5,6117.76
2015-09-18,16384.58,8238.15,6084.59
2015-09-21,16510.19,8275.05,6137.6
2015-09-22,16330.47,8261.65,6229.21
2015-09-23,16279.89,8251.7,6186.99
2015-09-24,16201.32,8295.45,6104.11
2015-09-25,16314.67,8260.55,6108.71
2015-09-28,16001.89,8232.9,5935.84
2015-09-29,16049.13,8171.2,6032.24
2015-09-30,16284.7,8111.75,5961.49
2015-10-01,16272.01,8065.8,6109.01
2015-10-02,16472.37,8050.8,5958.86
2015-10-05,16776.43,8060.7,5909.24
2015-10-06,16790.19,8040.2,6061.61
2015-10-07,16912.29,7955.45,6072.47
2015-10-08,17050.75,7954.3,6129.98
2015-10-09,17084.49,7915.2,6298.92
2015-10-12,17131.86,7783.35,6326.16
2015-10-13,17081.89,7762.25,6336.35
2015-10-14,16924.75,7806.6,6374.82
2015-10-15,17141.75,7837.55,6416.16
2015-10-16,17215.97,7731.8,6371.18
2015-10-19,17230.54,7842.75,6342.28
2015-10-20,17217.11,7856.55,6269.61
2015-10-21,17168.61,7849.25,6338.67
2015-10-22,17489.16,7831.6,6378.04
